Date,Average Sentiment
27-08-2025,0.9393
22-07-2025,0.872
15-07-2025,0.97765
14-07-2025,0.9621
30-06-2025,0.9705
25-06-2025,0.9861
15-06-2025,-0.9841
31-05-2025,0.9846
30-05-2025,0.1892
19-05-2025,0.9925
05-05-2025,0.8696
02-05-2025,0.9931
30-04-2025,0.9393
09-04-2025,0.9961
02-04-2025,0.4939
28-03-2025,0.9977
27-03-2025,0.1531
17-03-2025,-0.9988
13-03-2025,0.9961
11-03-2025,0.9854
04-03-2025,0.743
02-03-2025,0.8631
28-02-2025,0.9885
26-02-2025,0.9979
19-02-2025,0.6602
17-02-2025,0.99375
11-02-2025,0.8162
28-01-2025,0.96365
27-01-2025,0.9749
19-01-2025,0.9879
14-01-2025,0.84485
03-01-2025,0.965
27-12-2024,0.9989
20-12-2024,0.0944
12-12-2024,0.976
11-12-2024,0.9246
10-12-2024,0.83515
29-11-2024,0.687033333
28-11-2024,0.8481
26-11-2024,0.5719
25-11-2024,0.9915
23-11-2024,0.9703
21-11-2024,0.600133333
30-10-2024,0.9967
25-10-2024,0.7383
22-10-2024,-0.9387
16-10-2024,0.5244
10-10-2024,0.9814
08-10-2024,0.9236
07-10-2024,0.9846
03-10-2024,0.994
28-09-2024,0.2031
27-09-2024,0.872
15-09-2024,0.9685
13-09-2024,-0.9726
12-09-2024,0.3612
11-09-2024,-0.6025
08-09-2024,0.6757
06-09-2024,0.9907
02-09-2024,0.2057
26-08-2024,0.9912
23-08-2024,0.4434
19-08-2024,-0.128
13-08-2024,0.9906
12-08-2024,0.00315
11-08-2024,0.4127
02-08-2024,0.3612
01-08-2024,0.9979
31-07-2024,0.9702
29-07-2024,0.9934
21-07-2024,0.8033
15-07-2024,0.98345
07-07-2024,0.9888
05-07-2024,0.9774
02-07-2024,0.46495
03-07-2024,0.9705
27-06-2024,0.9009
26-06-2024,0.875
25-06-2024,0.8833
24-06-2024,0.81505
16-06-2024,0.9944
03-06-2024,0.9985
28-05-2024,0.9879
24-05-2024,0.9747
06-05-2024,0.9382
02-05-2024,0.9967
22-04-2024,-0.9606
18-04-2024,0.9792
16-04-2024,0.9825
10-04-2024,0.8591
03-04-2024,0.9937
04-04-2024,0.9927
28-03-2024,0.97655
26-03-2024,0.9972
18-03-2024,0.96235
15-03-2024,0.9963
28-02-2024,0.9935
27-02-2024,0.9428
09-02-2024,0.0772
29-01-2024,0.9538
25-01-2024,0.9895
24-01-2024,0.9866
23-01-2024,0.6059
18-01-2024,0.989
17-01-2024,0.90065
16-01-2024,0.9623
10-01-2024,0.9924
03-01-2024,0.958016667
31-12-2023,0.9938
29-12-2023,0.9961
27-12-2023,0.5719
18-12-2023,0.9808
17-12-2023,0.99
16-12-2023,0.9524
09-12-2023,0.9843
05-12-2023,0.99445
04-12-2023,0.9956
01-12-2023,0.775
28-11-2023,0.296
13-11-2023,0.9846
23-10-2023,0.8274
20-10-2023,0.9287
17-10-2023,0.9894
14-10-2023,-0.6621
13-10-2023,0.9943
03-10-2023,0.9893
19-09-2023,0.9983
16-09-2023,0.8894
08-09-2023,0.872
01-09-2023,0.92635
31-08-2023,0.9153
23-08-2023,-0.9432
22-08-2023,0.9022
14-08-2023,-0.8126
11-08-2023,0.3612
10-08-2023,0.7351
08-08-2023,-0.3818
02-08-2023,0.936
17-07-2023,0.9578
14-07-2023,0.9922
09-07-2023,-0.9343
10-07-2023,0.9975
28-06-2023,0.79175
27-06-2023,0.5994
26-06-2023,0.997
23-06-2023,0.3182
07-06-2023,0.9435
06-06-2023,0.3818
31-05-2023,0.6428
30-05-2023,0.997
23-05-2023,0.9594
24-05-2023,0.968
22-05-2023,0.9755
19-05-2023,-0.9313
20-05-2023,-0.9628
15-05-2023,0.943425
12-05-2023,0.9392
11-05-2023,0.972
10-05-2023,0.9493
08-05-2023,0.655
02-05-2023,0.9911
01-05-2023,0.967
28-04-2023,0.5859
27-04-2023,0.0139
22-04-2023,0.8885
20-04-2023,0.9403
18-04-2023,0.9687
17-04-2023,0.9941
16-04-2023,-0.8836
12-04-2023,0.9925
09-04-2023,-0.5983
08-04-2023,0.324133333
06-04-2023,0.04705
05-04-2023,0.303766667
02-04-2023,0.87005
01-04-2023,0.9587
30-03-2023,0.3967
29-03-2023,0.98155
28-03-2023,0.9741
27-03-2023,-0.9664
23-03-2023,0
21-03-2023,-0.617666667
20-03-2023,-0.04355
16-03-2023,-0.69425
15-03-2023,-0.8671
14-03-2023,0.623733333
13-03-2023,0.71662
10-03-2023,-0.80045
09-03-2023,0.82875
08-03-2023,0.9608
07-03-2023,0.6559
06-03-2023,0.839
03-03-2023,0.425425
02-03-2023,0.3163
01-03-2023,0.9661
28-02-2023,0.2684
27-02-2023,0.3842
26-02-2023,0.8689
24-02-2023,0.62094
23-02-2023,0.9875
22-02-2023,0.5719
21-02-2023,-0.3374
20-02-2023,0.5594
18-02-2023,0.947
