Date,Open,High,Low,Close,Volume,SMA_50,EMA_12,EMA_26,RSI,MACD,ADI,OBV,SO_K,SO_D,ADX,BB_High,BB_Low,ATR,VWAP
2020-04-01,393.7130121850827,393.7130121850827,373.7277063332516,378.1258544921875,29103504,,,,,,-16293940.465153633,29103504.0,,,0.0,,,0.0,381.8555243368406
2020-04-03,384.2103508083549,384.66611634905286,369.1700879653232,370.9247741699219,34996280,,,,,,-43364642.606410384,-5892776.0,,,0.0,,,0.0,378.0691443827043
2020-04-07,398.33909147590657,413.5160787569248,385.28139731588345,408.4114990234375,60412638,,,,,,-4796141.805213578,54519862.0,,,0.0,,,0.0,389.87577287356646
2020-04-08,401.05089768341077,430.69844088104304,394.73852818198174,405.1300048828125,56219352,,,,,,-28523641.48439004,-1699490.0,,,0.0,,,0.0,396.19450672181347
2020-04-09,416.1139269487588,424.27214102478746,405.6313198076619,421.60589599609375,44457146,,,,,,3215862.6122036874,42757656.0,,,0.0,,,0.0,400.3354788260415
2020-04-13,425.68502116035444,431.47324917436606,403.89943356387204,408.0696716308594,34158056,,,,,,-20610128.544998657,8599600.0,,,0.0,,,0.0,402.19852793768314
2020-04-15,424.08982064303325,424.08982064303325,384.2103372402762,393.4623718261719,57978752,,,,,,-51686755.794105686,-49379152.0,,,0.0,,,0.0,401.90417797847937
2020-04-16,394.23717536720306,405.95035481159914,390.24922706146543,400.959716796875,53854396,,,,,,-32067836.40632788,4475244.0,,,0.0,,,0.0,401.49051599490707
2020-04-17,417.02546539893945,419.3042930787151,404.3779717761847,414.88336181640625,55883462,,,,,,-9287901.952658549,60358706.0,,,0.0,,,0.0,402.97764438606174
2020-04-20,433.43303515886066,437.9679079146559,426.14078640750233,430.63006591796875,66232986,,,,,,-25240118.14963148,126591692.0,,,0.0,,,0.0,406.81791442942534
2020-04-21,421.58313893340227,425.6850289338354,413.83512448813974,420.05633544921875,33178006,,,,,,-23581155.541176494,93413686.0,,,0.0,,,0.0,407.63974245425766
2020-04-22,418.91691477659134,425.22925649239636,413.51607633951164,423.223876953125,38289354,,408.2434408850454,,,,1597380.3750416264,131703040.0,,,0.0,,,0.0,408.52223424474477
2020-04-23,426.1407788212389,436.8512689841256,415.9088369105965,435.2333068847656,40901222,,412.39572796192545,,,,36178741.646243505,172604262.0,,,0.0,,,0.0,409.9274819625789
2020-04-24,425.2292732434117,436.8057297514039,422.0389142801707,427.5308837890625,33284568,,414.7242134737927,,63.82708966751317,,27652095.613744177,139319694.0,84.8294260875128,,0.0,,,22.998257566753605,410.9101760197519
2020-04-27,430.7668027439289,436.3499304985777,422.1756057941024,423.7252197265625,27421072,,416.1089836665265,,61.35977780412477,,6226663.772992849,111898622.0,79.29776234394834,,0.0,,,22.36797664801944,411.58942634533327
2020-04-28,430.15150646216375,430.15150646216375,420.2158233605665,424.5000305175781,29441436,,417.3999139513037,,61.68452329734319,,2175170.1723478744,141340058.0,74.9470126195706,79.69140035034391,0.0,,,21.479955680417852,412.1549881856206
2020-04-29,426.1407733968417,452.4384502170679,425.73057329001324,445.3284912109375,55877778,,421.6966181450935,,69.18254212163916,,28302271.095413487,197217836.0,89.5791357903319,81.27463691795028,0.0,,,21.94127453892299,414.31154450756253
2020-04-30,456.40361745922075,464.4250797408059,452.1649757334157,456.5859069824219,43793134,,427.06420104314407,,72.33382654800751,,16092300.578498358,241010970.0,90.22726681653029,84.9178050754776,0.0,,,21.73808268113338,416.70157042145877
2020-05-04,436.39548007225295,437.53489385834234,418.164859494822,420.67156982421875,26722324,,426.08071931715557,,53.52821740542027,,-3713657.2097369265,214288646.0,45.45452799240958,75.08697686642392,0.0,,,22.929723024452418,416.98613226678293
2020-05-05,427.50807057591214,430.2426637778903,413.8578872791606,415.4075012207031,29672858,,424.43868576385523,,51.41812922436353,,-27773808.26243414,184615788.0,38.89205775387349,58.191284187604445,0.0,456.0171062545823,376.42952765655053,22.462226844043652,417.0854002435126
2020-05-06,418.8485304354791,432.9772621476661,412.764071615545,431.3365173339844,33785846,,425.49989062079817,,56.948544657604714,,527109.317952022,218401634.0,55.39173300796123,46.579439584748094,0.0,455.0864792325653,382.6812209627472,22.30158139319204,417.41374377458027
2020-05-07,428.64746481405723,429.9236026864297,419.9195441163271,421.5830993652344,21831730,,424.8973073507114,,52.97219933387136,,-14043909.685659967,196569904.0,28.652716462525788,40.9788357414535,0.0,450.16411916976085,392.6694135450829,21.524109380653844,417.56758912129226
2020-05-08,429.3311241854068,430.21987252194606,421.6742689354531,423.428955078125,20807484,,424.6714070010827,,53.63204894716482,,-26306507.775816083,217377388.0,20.643970858488043,34.896140109658354,0.0,450.29480465647697,394.0404736638355,20.603585364657977,417.73659713649727
2020-05-11,427.0523106885436,434.8003248632557,416.5697032756978,417.39007568359375,28550784,,423.55120218300743,,51.10564682930828,,-52287738.64183162,188826604.0,8.95453696302678,19.41707476134687,0.0,449.9126011937841,395.6486842066065,20.434087952007975,417.8912614610744
2020-05-12,410.6447507767757,414.4731924327486,397.01735002901523,410.8954162597656,49568418,,421.6041581948164,,48.461649633375025,,-23038558.264523547,139258186.0,20.58824157123763,16.72891646425082,0.0,449.86706186516136,394.6231755615965,20.429704930763016,417.3775978363095
2020-05-13,433.43300726421313,437.53489692286496,420.26137267767655,422.7908935546875,44346966,,421.78673286556585,415.60158896852795,53.23400179225749,6.185143897037904,-54397256.81697682,183605152.0,38.23529383925248,22.5926907911723,0.0,449.8265800444079,396.1357795747328,20.87326034021561,417.77789650657274
2020-05-14,409.2774436753148,415.20239553252986,405.6313194554902,407.3176574707031,39554890,,419.5607212663562,414.9879644131335,47.12167391903641,4.5727568532227,-80013711.02195035,144050262.0,15.28060281176656,24.701379407418887,0.0,448.03688738331215,399.31100080028165,20.60799703728573,417.4733743714104
2020-05-15,405.85921538747,406.72518104486295,398.79484948235404,404.7881774902344,24349628,,417.28802222387594,414.2324246410669,46.18802900588457,3.055597582809014,-67558999.5505001,119700634.0,11.528095508399684,21.68133071980624,24.501384772793035,447.56249029400243,400.16824395892723,19.744769248075972,417.1667348210187
2020-05-18,404.7197708378533,404.7197708378533,378.87786098770334,381.31622314453125,46649964,,411.75389928859215,411.7941874931754,38.55430296254331,-0.040288204583248444,-105405472.82596882,73050670.0,2.8503114331107033,9.88633658442565,23.664368569732012,452.1242239121261,392.249796473616,20.185165480537048,416.0073541002547
